invoice_id,order_id,customer_name,issue_date,amount,gst_amount,total_amount,status
INV-2026-001,ORD-1001,Apex Technologies Pvt Ltd,2026-08-10,10000.00,1800.00,11800.00,PAID
INV-2026-002,ORD-1002,Zenith Retail Solutions,2026-08-11,15000.00,2700.00,17700.00,PAID
INV-2026-003,ORD-1003,Bluefin Logistics Ltd,2026-08-12,8500.00,1530.00,10030.00,PAID
INV-2026-004,ORD-1004,CloudNova Infotech,2026-08-13,25000.00,4500.00,29500.00,PAID
INV-2026-005,ORD-1005,Starlight Ventures LLP,2026-08-14,6000.00,1080.00,7080.00,PAID
INV-2026-006,ORD-1006,Quantum Corp,2026-08-15,12000.00,2160.00,14160.00,PENDING
INV-2026-007,ORD-1007,Hyperion Systems,2026-08-16,4000.00,720.00,4720.00,PAID
INV-2026-008,ORD-1008,Nexus Dynamics,2026-08-17,9000.00,1620.00,10620.00,CANCELLED
INV-2026-009,ORD-1009,Vanguard Media,2026-08-18,18000.00,3240.00,21240.00,PAID
INV-2026-010,ORD-1010,Pulse Health Solutions,2026-08-19,7500.00,1350.00,8850.00,PAID
INV-2026-011,ORD-1011,Orion Pharma Ltd,2026-08-20,9000.00,1620.00,10620.00,PAID
INV-2026-012,ORD-1012,SilverPeak Trading Co,2026-08-20,14000.00,2520.00,16520.00,PAID
INV-2026-013,ORD-1013,Meridian Analytics,2026-08-21,11000.00,1980.00,12980.00,PAID
INV-2026-014,ORD-1014,Vertex Consulting,2026-08-21,22000.00,3960.00,25960.00,PAID
INV-2026-015,ORD-1015,Ironclad Fabrications,2026-08-22,5500.00,990.00,6490.00,PAID
INV-2026-016,ORD-1016,ClearPath Software,2026-08-22,30000.00,5400.00,35400.00,PAID
INV-2026-017,ORD-1017,BlueSky Hospitality,2026-08-23,7200.00,1296.00,8496.00,PAID
INV-2026-018,ORD-1018,Streamline Logistics,2026-08-23,18500.00,3330.00,21830.00,PAID
INV-2026-019,ORD-1019,Kinetic Robotics,2026-08-24,45000.00,8100.00,53100.00,PAID
INV-2026-020,ORD-1020,Golden Harvest Agri,2026-08-24,3200.00,576.00,3776.00,PAID
INV-2026-021,ORD-1021,Apex Builders,2026-08-25,16000.00,2880.00,18880.00,PAID
INV-2026-022,ORD-1022,NovaWave Technologies,2026-08-25,28000.00,5040.00,33040.00,PAID
INV-2026-023,ORD-1023,TerraFirm Construction,2026-08-26,12500.00,2250.00,14750.00,PAID
INV-2026-024,ORD-1024,Pinnacle Insurance,2026-08-26,9800.00,1764.00,11564.00,PAID
INV-2026-025,ORD-1025,RadiantPath Edu,2026-08-27,6800.00,1224.00,8024.00,PAID
INV-2026-026,ORD-1026,EchoSound Studios,2026-08-27,21000.00,3780.00,24780.00,PAID
INV-2026-027,ORD-1027,CarbonZero Energy,2026-08-28,50000.00,9000.00,59000.00,PAID
INV-2026-028,ORD-1028,MountainTop Hotels,2026-08-28,8200.00,1476.00,9676.00,PAID
INV-2026-029,ORD-1029,DeepRoot Biotech,2026-08-29,13000.00,2340.00,15340.00,PAID
INV-2026-030,ORD-1030,FastLine Courier,2026-08-29,4400.00,792.00,5192.00,PAID
INV-2026-031,ORD-1031,Silverstone Motors,2026-08-30,35000.00,6300.00,41300.00,PAID
INV-2026-032,ORD-1032,Luminary Events,2026-08-30,11500.00,2070.00,13570.00,PAID
INV-2026-033,ORD-1033,Foresight Capital,2026-08-31,24000.00,4320.00,28320.00,PAID
INV-2026-034,ORD-1034,Tidal Power Corp,2026-08-31,17000.00,3060.00,20060.00,PAID
INV-2026-035,ORD-1035,Precision Tools Ltd,2026-09-01,8800.00,1584.00,10384.00,PAID
INV-2026-036,ORD-1036,WestEnd Fashion,2026-09-01,5600.00,1008.00,6608.00,PAID
INV-2026-037,ORD-1037,HorizonAI Labs,2026-09-02,40000.00,7200.00,47200.00,PAID
INV-2026-038,ORD-1038,Northstar Mining,2026-09-02,14200.00,2556.00,16756.00,PAID
INV-2026-039,ORD-1039,CoastalFresh Seafood,2026-09-03,6100.00,1098.00,7198.00,PAID
INV-2026-040,ORD-1040,RedBrick Realty,2026-09-03,32000.00,5760.00,37760.00,PAID
INV-2026-041,ORD-1041,TechBridge Solutions,2026-09-04,19000.00,3420.00,22420.00,PAID
INV-2026-042,ORD-1042,SwiftPay Fintech,2026-09-04,7700.00,1386.00,9086.00,PAID
INV-2026-043,ORD-1043,GreenLeaf Organics,2026-09-05,4900.00,882.00,5782.00,PAID
INV-2026-044,ORD-1044,Arcadia Games,2026-09-05,12200.00,2196.00,14396.00,PAID
INV-2026-045,ORD-1045,BluePrint Architects,2026-09-06,26000.00,4680.00,30680.00,PAID
INV-2026-046,ORD-9001,Phantom Imports Ltd,2026-09-06,8000.00,1440.00,9440.00,PAID
INV-2026-047,ORD-9002,Ghost Retail Corp,2026-09-07,5500.00,990.00,6490.00,PAID
INV-2026-048,ORD-1048,Delta Pharmaceuticals,2026-09-07,21500.00,3870.00,25370.00,PAID
INV-2026-049,ORD-1049,Sunrise Textiles,2026-09-08,9300.00,1674.00,10974.00,PAID
INV-2026-050,ORD-1050,IronForge Metals,2026-09-08,15800.00,2844.00,18644.00,PAID
