invoice_id,order_id,customer_name,issue_date,amount,gst_amount,total_amount,status
INV-2026-001,ORD-1001,Apex Technologies Pvt Ltd,2026-08-10,10000.00,1800.00,11800.00,PAID
INV-2026-002,ORD-1002,Zenith Retail Solutions,2026-08-11,15000.00,2700.00,17700.00,PAID
INV-2026-003,ORD-1003,Bluefin Logistics Ltd,2026-08-12,8500.00,1530.00,10030.00,PAID
INV-2026-004,ORD-1004,CloudNova Infotech,2026-08-13,25000.00,4500.00,29500.00,PAID
INV-2026-005,ORD-1005,Starlight Ventures LLP,2026-08-14,6000.00,1080.00,7080.00,PAID
INV-2026-006,ORD-1006,Quantum Corp,2026-08-15,12000.00,2160.00,14160.00,PENDING
INV-2026-007,ORD-1007,Hyperion Systems,2026-08-16,4000.00,720.00,4720.00,PAID
INV-2026-008,ORD-1008,Nexus Dynamics,2026-08-17,9000.00,1620.00,10620.00,CANCELLED
INV-2026-009,ORD-1009,Vanguard Media,2026-08-18,18000.00,3240.00,21240.00,PAID
INV-2026-010,ORD-1010,Pulse Health Solutions,2026-08-19,7500.00,1350.00,8850.00,PAID
